"X" "Trat." "plot" "block" "trat" "c" "male" "female" "concat" "DBP" "IVDMD" "CEL.LIG"
"228" 228 "BAGCE 38 x CNPGL 91-6-3" 147 "3" 29 "1" "4" "6" "46" 19.962 34.01 5.41
"230" 230 "Pioneiro x CNPGL 96-27-3" 120 "3" 39 "1" "5" "10" "510" 19.684 34.79 4.74
"231" 231 "BAGCE 30 x CNPGL 92-27-3" 154 "3" 18 "1" "2" "10" "210" 19.588 38.96 5.24
"232" 232 "BAGCE 37 x Pioneiro" 121 "3" 21 "1" "3" "5" "35" 19.537 34.62 4.51
"236" 236 "CNPGL 96-27-3 x CNPGL 92-38-2" 55 "1" 55 "1" "10" "11" "1011" 19.397 49.14 4.39
"242" 242 "BAGCE 30 x CNPGL 92-27-3" 100 "2" 18 "1" "2" "10" "210" 19.082 35.14 4.28
"246" 246 "Pioneiro x CNPGL 92-66-3" 37 "1" 37 "1" "5" "8" "58" 18.929 44.55 4.33
"249" 249 "CNPGL 92-66-3 x CNPGL 96-27-3" 51 "1" 51 "1" "8" "10" "810" 18.8 40.38 3.93
"254" 254 "CNPGL 92-198-7 x CNPGL 92-79-2" 108 "2" 47 "1" "7" "9" "79" 18.364 32.26 4.3
"256" 256 "CNPGL 91-6-3 x CNPGL 92-198-7" 41 "1" 41 "1" "6" "7" "67" 18.305 57.03 5.4
"260" 260 "BAGCE 38 x CNPGL 92-38-2" 133 "3" 34 "1" "4" "11" "411" 18.063 31.24 4.59
"261" 261 "Pioneiro x CNPGL 92-79-2" 64 "2" 38 "1" "5" "9" "59" 17.808 29.97 3.99
"263" 263 "CNPGL 96-27-3 x CNPGL 92-38-2" 130 "3" 55 "1" "10" "11" "1011" 17.63 38.58 4.94
"265" 265 "CNPGL 91-6-3 x CNPGL 92-79-2" 78 "2" 43 "1" "6" "9" "69" 17.541 34.02 4.64
"266" 266 "BAGCE 30 x CNPGL 92-79-2" 17 "1" 17 "1" "2" "9" "29" 17.493 47.46 5.07
"267" 267 "BAGCE 38 x CNPGL 92-66-3" 31 "1" 31 "1" "4" "8" "48" 17.478 45.43 4.27
"268" 268 "BAGCE 37 x CNPGL 92-198-7" 125 "3" 23 "1" "3" "7" "37" 17.432 34.99 4.2
"271" 271 "BAGCE 37 x CNPGL 91-6-3" 149 "3" 22 "1" "3" "6" "36" 17.009 33.58 4.6
"274" 274 "BAGCE 38 x CNPGL 91-6-3" 29 "1" 29 "1" "4" "6" "46" 16.728 44.63 4.68
"281" 281 "BAGCE 30 x Pioneiro" 124 "3" 13 "1" "2" "5" "25" 15.998 34.51 4.72
"282" 282 "BAGCE 30 x CNPGL 91-6-3" 117 "3" 14 "1" "2" "6" "26" 15.942 32.43 5.65
"285" 285 "CNPGL 92-198-7 x CNPGL 92-38-2" 86 "2" 49 "1" "7" "11" "711" 15.483 34.81 4.72
"287" 287 "CNPGL 92-66-3 x CNPGL 92-38-2" 52 "1" 52 "1" "8" "11" "811" 15.372 35.3 4.68
"289" 289 "BAGCE 37 x BAGCE 38" 20 "1" 20 "1" "3" "4" "34" 15.215 42.14 4.13
"292" 292 "BAGCE 37 x CNPGL 96-27-3" 128 "3" 26 "1" "3" "10" "310" 15.089 34.85 4.94
"293" 293 "BAGCE 37 x CNPGL 92-38-2" 27 "1" 27 "1" "3" "11" "311" 15.038 52.36 4.83
"299" 299 "BAGCE 21 x CNPGL 92-198-7" 94 "2" 6 "1" "1" "7" "17" 14.476 32.23 4.44
"303" 303 "BAGCE 30 x CNPGL 92-66-3" 159 "3" 16 "1" "2" "8" "28" 14.201 31.19 3.88
"304" 304 "BAGCE 37 x CNPGL 91-6-3" 84 "2" 22 "1" "3" "6" "36" 14.106 36.71 4.85
"305" 305 "BAGCE 37 x BAGCE 38" 66 "2" 20 "1" "3" "4" "34" 13.913 36.21 5.26
"310" 310 "BAGCE 38 x CNPGL 92-38-2" 34 "1" 34 "1" "4" "11" "411" 13.232 49.07 5.02
"317" 317 "BAGCE 38 x CNPGL 92-79-2" 76 "2" 32 "1" "4" "9" "49" 12.225 34.81 5.43
"323" 323 "BAGCE 21 x CNPGL 92-198-7" 136 "3" 6 "1" "1" "7" "17" 11.042 35.93 5.2
"327" 327 "BAGCE 21 x CNPGL 92-198-7" 6 "1" 6 "1" "1" "7" "17" 10.347 50.03 4.4
"5" 5 "BAGCE 21 x Pioneiro" 72 "2" 4 "2" "1" "5" "15" NA NA NA
"6" 6 "BAGCE 21 x CNPGL 91-6-3" 80 "2" 5 "2" "1" "6" "16" NA 38.84 4.63
"10" 10 "BAGCE 21 x BAGCE 38" 3 "1" 3 "2" "1" "4" "14" 44.179 38.79 4.48
"11" 11 "BAGCE 30 x CNPGL 92-38-2" 116 "3" 19 "2" "2" "11" "211" 44.13 37.87 4.63
"13" 13 "CNPGL 91-6-3 x CNPGL 96-27-3" 44 "1" 44 "2" "6" "10" "610" 39.896 41.47 4.82
"14" 14 "CNPGL 92-66-3 x CNPGL 92-38-2" 119 "3" 52 "2" "8" "11" "811" 39.465 34.76 4.43
"16" 16 "BAGCE 30 x CNPGL 92-79-2" 145 "3" 17 "2" "2" "9" "29" 38.788 42.42 4.71
"18" 18 "BAGCE 38 x CNPGL 92-198-7" 30 "1" 30 "2" "4" "7" "47" 36.513 42.84 4.82
"19" 19 "BAGCE 21 x CNPGL 92-38-2" 137 "3" 10 "2" "1" "11" "111" 36.448 37.56 5
"20" 20 "CNPGL 91-6-3 x CNPGL 96-27-3" 167 "3" 44 "2" "6" "10" "610" 35.055 37.22 4.16
"21" 21 "BAGCE 38 x CNPGL 92-198-7" 132 "3" 30 "2" "4" "7" "47" 34.973 45.05 4.69
"22" 22 "BAGCE 37 x CNPGL 92-66-3" 106 "2" 24 "2" "3" "8" "38" 34.814 37.92 4.44
"23" 23 "BAGCE 30 x CNPGL 91-6-3" 77 "2" 14 "2" "2" "6" "26" 34.783 36.87 4.62
"28" 28 "Pioneiro x CNPGL 92-38-2" 89 "2" 40 "2" "5" "11" "511" 33.182 38.51 5.01
"30" 30 "CNPGL 96-27-3 x CNPGL 92-38-2" 59 "2" 55 "2" "10" "11" "1011" 33.117 43.15 5.44
"32" 32 "BAGCE 21 x CNPGL 92-79-2" 142 "3" 8 "2" "1" "9" "19" 32.595 40.38 5.25
"34" 34 "BAGCE 21 x CNPGL 92-38-2" 10 "1" 10 "2" "1" "11" "111" 32.475 40.28 4.8
"38" 38 "CNPGL 92-66-3 x CNPGL 96-27-3" 127 "3" 51 "2" "8" "10" "810" 31.877 37.86 4.6
"39" 39 "BAGCE 30 x CNPGL 92-198-7" 158 "3" 15 "2" "2" "7" "27" 31.74 38.4 4.45
"42" 42 "Pioneiro x CNPGL 92-38-2" 40 "1" 40 "2" "5" "11" "511" 31.014 39.37 5.51
"44" 44 "BAGCE 37 x CNPGL 92-66-3" 151 "3" 24 "2" "3" "8" "38" 30.93 38.35 4.85
"45" 45 "BAGCE 21 x CNPGL 92-66-3" 160 "3" 7 "2" "1" "8" "18" 30.553 35.04 4.18
"46" 46 "Pioneiro x CNPGL 92-79-2" 38 "1" 38 "2" "5" "9" "59" 30.421 40.73 4.97
"54" 54 "Pioneiro x CNPGL 92-79-2" 122 "3" 38 "2" "5" "9" "59" 29.978 41.27 5.27
"55" 55 "BAGCE 30 x CNPGL 92-79-2" 61 "2" 17 "2" "2" "9" "29" 29.892 39.32 4.57
"56" 56 "BAGCE 21 x Pioneiro" 4 "1" 4 "2" "1" "5" "15" 29.849 37.06 4.45
"58" 58 "CNPGL 91-6-3 x CNPGL 92-38-2" 95 "2" 45 "2" "6" "11" "611" 29.677 41.77 5.06
"59" 59 "Pioneiro x CNPGL 91-6-3" 152 "3" 35 "2" "5" "6" "56" 29.561 40.84 5.46
"61" 61 "BAGCE 38 x Pioneiro" 138 "3" 28 "2" "4" "5" "45" 29.076 37.81 4.7
"62" 62 "BAGCE 37 x Pioneiro" 96 "2" 21 "2" "3" "5" "35" 29.047 41.13 5
"63" 63 "BAGCE 38 x CNPGL 92-66-3" 126 "3" 31 "2" "4" "8" "48" 28.806 39.35 4.5
"66" 66 "BAGCE 21 x CNPGL 96-27-3" 93 "2" 9 "2" "1" "10" "110" 28.666 40.46 4.78
"67" 67 "CNPGL 92-198-7 x CNPGL 92-66-3" 82 "2" 46 "2" "7" "8" "78" 28.536 39.74 4.96
"69" 69 "CNPGL 92-198-7 x CNPGL 92-79-2" 108 "2" 47 "2" "7" "9" "79" 28.344 39.13 4.59
"72" 72 "BAGCE 30 x BAGCE 38" 99 "2" 12 "2" "2" "4" "24" 27.952 43.79 5.05
"80" 80 "BAGCE 21 x BAGCE 38" 83 "2" 3 "2" "1" "4" "14" 27.383 40.27 4.82
"84" 84 "BAGCE 30 x CNPGL 91-6-3" 14 "1" 14 "2" "2" "6" "26" 27.026 36.35 4.94
"89" 89 "Pioneiro x CNPGL 92-79-2" 64 "2" 38 "2" "5" "9" "59" 26.661 38.69 4.8
"92" 92 "BAGCE 21 x CNPGL 92-66-3" 110 "2" 7 "2" "1" "8" "18" 26.433 35.03 4.4
"97" 97 "BAGCE 30 x BAGCE 38" 143 "3" 12 "2" "2" "4" "24" 26.176 42.61 5.66
"98" 98 "BAGCE 38 x CNPGL 92-198-7" 104 "2" 30 "2" "4" "7" "47" 26.166 41.3 4.7
"100" 100 "BAGCE 21 x CNPGL 92-79-2" 85 "2" 8 "2" "1" "9" "19" 26.121 38.37 4.91
"103" 103 "BAGCE 30 x CNPGL 92-79-2" 17 "1" 17 "2" "2" "9" "29" 25.798 38.33 4.42
"104" 104 "CNPGL 92-79-2 x CNPGL 96-27-3" 114 "3" 53 "2" "9" "10" "910" 25.771 32.65 3.96
"106" 106 "BAGCE 37 x CNPGL 92-79-2" 25 "1" 25 "2" "3" "9" "39" 25.716 37.58 4.6
"107" 107 "BAGCE 21 x BAGCE 30" 101 "2" 1 "2" "1" "2" "12" 25.675 40.5 4.58
"109" 109 "BAGCE 38 x CNPGL 96-27-3" 111 "2" 33 "2" "4" "10" "410" 25.57 40.34 5.08
"110" 110 "BAGCE 37 x CNPGL 92-66-3" 24 "1" 24 "2" "3" "8" "38" 25.527 39.91 5.21
"117" 117 "BAGCE 37 x CNPGL 92-38-2" 146 "3" 27 "2" "3" "11" "311" 25.264 41.42 5.31
"119" 119 "Pioneiro x CNPGL 91-6-3" 35 "1" 35 "2" "5" "6" "56" 25.101 38.43 4.52
"120" 120 "BAGCE 21 x CNPGL 92-38-2" 103 "2" 10 "2" "1" "11" "111" 25.082 37.42 4.59
"124" 124 "Pioneiro x CNPGL 92-198-7" 36 "1" 36 "2" "5" "7" "57" 24.962 43.46 5.11
"125" 125 "CNPGL 92-66-3 x CNPGL 92-79-2" 161 "3" 50 "2" "8" "9" "89" 24.938 38.26 4.38
"126" 126 "Pioneiro x CNPGL 91-6-3" 79 "2" 35 "2" "5" "6" "56" 24.914 39.12 4.89
"127" 127 "BAGCE 21 x CNPGL 96-27-3" 135 "3" 9 "2" "1" "10" "110" 24.89 37.8 4.9
